0 常压蒸汽养护过程分为四个阶段,其中包括()。	升温阶段; 降温阶段; 恒温阶段; 
1 在建筑工程施工质量验收标准、规范体系的编制中坚持( )。	完善手段; 过程控制; 强化验收; 验评分离; 
2 钢筋冷拉后会出现的变化是( )	不加外力情况下,屈服强度会随时间的推移而提高; 弹性模量降低; 塑性降低; 屈服点提高; 
3 在纯水泥砂浆中掺入( )可提高其和易性和保水性	石膏; 石灰; 粉煤灰; 
4 钢筋常用的焊接方法有()。	电弧焊; 电渣压力焊; 对焊; 
5 预防砌筑砂浆和易性差、沉底结硬的措施是( )	不用细砂; 严控制塑化材料的质量和掺量; 随拌随用; 灰桶中的砂浆经常翻拌和清底; 
6 钢筋的连接方法有(  )	焊接连接; 绑扎连接; 机械连接; 
7 对砌体结构中的构造柱,下述不正确的做法有( )	马牙搓从柱角开始,应先进后退; 砖墙应砌成马牙搓,每一马牙搓沿高度方向的尺寸不超过500mm; 
8 混凝土质量缺陷的处理方法有( )	表面抹浆修补; 细石混凝土填补; 水泥灌浆; 化学灌浆; 
9 下述砌砖工程的施工方法,错误的是( )	砖砌体的砌筑方法有砌砖法、挤浆法、刮浆法; “三-”砌砖法即是三顺一丁的砌法; 
10 ( )质量验收包括观感质量验收。	单位工程; 分部工程; 
11 大体积钢筋混凝土结构浇筑方案有( )	分段分层; 斜面分层; 全面分层; 
12 为大体积混凝土由于温度应力作用产生裂缝,可采取的措施有()。	降低混凝土的入模温度,控制混凝土内外的温差; 减少水泥用量; 优先选用低水化热的矿渣水泥拌制混凝土; 
13 可以进行邀请招标的工程包括( )。	拟公开招标的费用与项目的价值相比,不值得的;; 项目技术复杂或有特殊要求,只有少量几家潜在投标人可供选择; 涉及国家安全、国家秘密或者抢险救灾,适宜招标但不宜公开招标的;; 
14 砖混结构中承受竖向荷载的构件主要有( )	砖砌的柱; 砖砌的墙体; 
15 钢筋砖过梁的正确施工方法是( )	第一皮砖应丁砌; 砌筑时,在过梁底部支设模板,模板中部应有1%的起拱; 施工时先在模板上铺设30mm厚1:3水泥砂浆; 过梁上至少六皮砖用M5.0的水泥砂浆; 
16 钢筋冷拉时可达到的目的有( )	提高钢筋强度; 除锈; 调直; 节约钢材; 
17 在冬季施工时,混凝土养护方法有( )	蓄热法; 掺外加剂法; 加热法; 
18 关于施工中砌筑砂浆稠度的选择,正确的做法有( )	当在干热条件下砌筑时,应选用较大稠度值的砂浆; 当在湿冷条件下砌筑时,应选用较小稠度值的砂浆; 
19 预应力混凝土按预加应力方法不同可分为( )	电热张拉法预应力混凝土; 先张法预应力混凝土; 后张法预应力混凝土; 
20 空心砌块的排列应遵循( )	空心砌块要错缝搭接,小砌块应面朝上反砌于墙体上; 墙体转角处和纵橫交接处应同时砌筑; 
21 预应力筋张拉时,通常采用超张拉( )	5%; 3%; 
22 钢筋现场代换的原则有()。	等面积代换; 等强度代换; 
23 有关模板设计的叙述正确的是( )	选用模板规格尽量少; 优先选用大模板; 全部用定型钢模板; 
24 楼梯混凝土质量缺陷有以下表现( )	踏步混凝土缺棱掉角; 踏步表面平整度超标; 踏步尺寸及高差超标; 踏步混凝土蜂窝; 
